,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet,Tweets Ago
0,-0.7845,Fri Jan 12 19:33:04 +0000 2018,0.465,0.535,@BBC,0.0,The day I accidentally killed a little boy. https://t.co/QvHrUFLJic https://t.co/r3YCMYGeDs,1
1,-0.7506,Fri Jan 12 19:00:07 +0000 2018,0.652,0.348,@BBC,0.0,"In the endless winter night, terrifying monsters haunt Iceland's caves and mountains. 😱👹 https://t.co/cwZdBQGjct",2
2,-0.4404,Fri Jan 12 18:33:03 +0000 2018,0.818,0.182,@BBC,0.0,"Tonight, @CharltonBrooker, @ScarlettMoffatt and @Pearlie_mack talk pet hates and peeves. 🙅

#Room101 | 8:30pm |… https://t.co/3ydAdVcULC",3
3,0.4404,Fri Jan 12 17:58:03 +0000 2018,0.854,0.0,@BBC,0.146,"'Kids are easy to manage... you just lie to them.' 😂

@SindhuVFunny on how to raise children. 👉… https://t.co/QZuCvxhQr2",4
4,0.0,Fri Jan 12 17:30:07 +0000 2018,1.0,0.0,@BBC,0.0,"Errs
Yer
Dinner

On the table in just minutes 😂
https://t.co/BDG2qj8QGf",5
5,0.0,Fri Jan 12 17:00:05 +0000 2018,1.0,0.0,@BBC,0.0,Astronomers have caught a massive black hole letting out a 'double burp' after bingeing on hot gas.… https://t.co/kvjvjFcO41,6
6,0.0,Fri Jan 12 16:40:51 +0000 2018,1.0,0.0,@BBC,0.0,Where does the money go from the 5p plastic bag charge? 🛍 https://t.co/H3UjuZqd3I https://t.co/4DxREaZtZh,7
7,0.3612,Fri Jan 12 15:00:02 +0000 2018,0.884,0.0,@BBC,0.116,"The Queen reveals what it's actually like to take a ride in the Gold State Coach. 👑 

#TheCoronation is on @BBCOne… https://t.co/16H4OnOSCh",8
8,-0.128,Fri Jan 12 14:03:03 +0000 2018,0.681,0.173,@BBC,0.147,How Grace Kelly went from being the family failure to Hollywood royalty. ✨🎬 👑 https://t.co/iIXtfmNCew https://t.co/sURkXsNWcl,9
9,0.481,Fri Jan 12 13:39:17 +0000 2018,0.852,0.0,@BBC,0.148,"RT @BBCBargainHunt: Oh look, a ring. Oh look, it's got your name on it… 
SURPRISE PROPOSAL! 💍❤️

#bbcbargainhunt #bargainhunt https://t.co/…",10
10,0.4391,Fri Jan 12 13:30:04 +0000 2018,0.804,0.0,@BBC,0.196,"'Second chances are really important to me'. 

🎶 @JohnLegend explains what Bob Marley’s Redemption Song means to hi… https://t.co/NnbZVnWXqK",11
